№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
1006;1890077;Дніпропетровська;;50081;м.;Кривий Ріг;Покровський;;мкр-н 5-й Зарічний;11-К;;;;50081, Дніпропетровська обл., м.Кривий Ріг, Покровський р-н, мкр-н 5-й Зарічний, 11-К;1211036600;UA12060170010439451
1007;1890078;Дніпропетровська;;49055;м.;Дніпро;Чечелівський;вулиця;Титова;11;;;;49055, Дніпропетровська обл., м.Дніпро, Чечелівський р-н, вул.Титова, 11;1210137800;UA12020010010757287
1008;1890079;Дніпропетровська;;49038;м.;Дніпро;Центральний;проспект;ДМИТРА ЯВОРНИЦЬКОГО;117;;;;49038, Дніпропетровська обл., м.Дніпро, Центральний р-н, проспект Дмитра Яворницького, 117;1210137500;UA12020010010639502
1009;1890080;Запорізька;;69035;м.;Запоріжжя;Вознесенівський;;Сталеварів;9-А;;;;69035, Запорізька обл., м.Запоріжжя, Вознесенівський р-н, вул.Сталеварів, 9-А;2310137200;UA23060070010154443
1010;1890081;Запорізька;;69071;м.;Запоріжжя;Шевченківський;вулиця;Чарівна;129-Б;;;;69071, Запорізька обл., м.Запоріжжя, Шевченківський р-н, вул.Чарівна, 129-Б;2310137500;UA23060070010748330
1011;1890082;;;02192;м.;Київ;Дніпровський;вулиця;Малишка Андрія;3-Д;;;;02192, м.Київ, Дніпровський р-н, вул.Малишка Андрія, 3-Д;8036600000;UA80000000000479391
1012;1890083;;;02152;м.;Київ;Дніпровський;вулиця;Серафимовича;11;;;;02152, м.Київ, Дніпровський р-н, вул.Серафимовича, 11;8036600000;UA80000000000479391
1013;1890084;Черкаська;;18001;м.;Черкаси;Придніпровський;бульвар;Шевченка;207;;;;18001, Черкаська обл., м.Черкаси, Придніпровський р-н, бульвар Шевченка, 207;7110136400;UA71080490010144486
1014;1890085;Чернігівська;;14021;м.;Чернігів;Деснянський;проспект;ПЕРЕМОГИ;87;;;;14021, Чернігівська обл., м.Чернігів, Деснянський р-н, проспект Перемоги, 87;7410136300;UA74100390010122363
1015;1890086;Київська;;07406;м.;Бровари;;бульвар;НЕЗАЛЕЖНОСТІ;11;;;;07406, Київська обл., м.Бровари, бульвар Незалежності, 11;3210600000;UA32060050000030591
1016;1890087;Запорізька;;71503;м.;Енергодар;;вулиця;Українська;10;;;;71503, Запорізька обл., м.Енергодар, вул.Українська, 10;2312500000;UA23040110000019947
