Повне найменування відокремленного підрозділу;Адреса відокремленного підрозділу;Дата та номер рішення про створення відокремленого підрозділу;ЄДРПОУ;Режим роботи;Платежі приймаються в Платіжній системі;Платежі виплачуються  в Платіжній системі
ВІДДІЛЕННЯ №1010086;08700, Київська обл., місто Обухів, ВУЛИЦЯ ЖОВТНЕВА, будинок 174;№ 13/12 від 14.12.2016;41032609;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010087;53208, Дніпропетровська обл., місто Нікополь, ВУЛИЦЯ КООПЕРАТИВНА, будинок 5;№ 13/12 від 14.12.2016;41032620;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010088;45008, Волинська обл., місто Ковель, ВУЛИЦЯ Незалежності, будинок 166-А;№ 13/12 від 14.12.2016;41032636;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010089;81700, Львівська обл., Жидачівський район, місто Жидачів, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 5;№ 13/12 від 14.12.2016;41032641;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010090;20301, Черкаська обл., місто Умань, ВУЛИЦЯ ІНДУСТРІАЛЬНА, будинок 14А;№ 13/12 від 14.12.2016;41032657;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010091;44101, Волинська обл., Ратнівський район, селище міського типу Ратне, ВУЛИЦЯ 1-ГО ТРАВНЯ, будинок 34;№ 13/12 від 14.12.2016;41032662;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010092;89611, Закарпатська обл., місто Мукачево, ВУЛИЦЯ АКАДЕМІКА МОРОЗОВА, будинок 20;№ 13/12 від 14.12.2016;41032683;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010093;31202, Хмельницька обл., Волочиський район, місто Волочиськ, ВУЛИЦЯ ОЛЕКСАНДРА ДОВЖЕНКА, будинок 2-Ж;№ 13/12 від 14.12.2016;41032699;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010094;25015, Кіровоградська обл., м.Кропивницький, Подільський р-н., вул. Євгена Маланюка, 11-А;№ 13/12 від 14.12.2016;41032704;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010095;55001, Миколаївська обл., місто Южноукраїнськ, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 5/5;№ 13/12 від 14.12.2016;41032712;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010096;93600, Луганська обл., Станично-Луганський район, селище міського типу Станиця Луганська, ВУЛИЦЯ БУКАЄВА, будинок 53;№ 13/12 від 14.12.2016;41032725;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010097;71701, Запорізька обл., місто Токмак, ВУЛИЦЯ КАРЛА ЛІБКНЕХТА, будинок 103;№ 13/12 від 14.12.2016;41032730;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010098;69089, Запорізька обл., місто Запоріжжя, Дніпровський район, ВУЛИЦЯ ІСТОМІНА, будинок 6;№ 13/12 від 14.12.2016;41032746;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010099;16610, Чернігівська обл., місто Ніжин, ВУЛИЦЯ ГЕНЕРАЛА КОРЧАГІНА, будинок 2;№ 13/12 від 14.12.2016;41032751;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010100;41600, Сумська обл., місто Конотоп, ВУЛИЦЯ САДОВА, будинок 16;№ 13/12 від 14.12.2016;41032767;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010101;39801, Полтавська обл., місто Горішні Плавні, ВУЛИЦЯ СТРОНА, будинок 1;№ 13/12 від 14.12.2016;41032772;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010102;23100, Вінницька обл., місто Жмеринка, ВУЛИЦЯ КИЇВСЬКА, будинок 18;№ 13/12 від 14.12.2016;41032788;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010103;56501, Миколаївська обл., місто Вознесенськ, ВУЛИЦЯ СОБОРНОСТІ, будинок 13;№ 13/12 від 14.12.2016;41032793;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010104;92905, Луганська обл., Кремінський район, місто Кремінна, ПРОВУЛОК ПІЩАНИЙ, будинок 10;№ 13/12 від 14.12.2016;41032809;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010105;41400, Сумська обл., місто Глухів, ВУЛИЦЯ ТЕРЕЩЕНКІВ, будинок 55;№15/01 від 20.01.2017;41094425;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010106;75500, Херсонська обл., Генічеський район, місто Генічеськ, ПРОСПЕКТ МИРУ, будинок 109-Б;№15/01 від 20.01.2017;41094430;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010107;08601, Київська обл., місто Васильків, ВУЛИЦЯ ГОГОЛЯ, будинок 5-А;№15/01 від 20.01.2017;41094446;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010108;80109, Львівська обл., місто Червоноград, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 61;№15/01 від 20.01.2017;41094451;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010109;80383, Львівська обл., Жовківський район, село Малехів, ВУЛИЦЯ ДОРОША, будинок 20-А;№15/01 від 20.01.2017;41094467;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010110;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;№15/01 від 20.01.2017;41094472;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010111;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;№15/01 від 20.01.2017;41094488;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010112;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;№15/01 від 20.01.2017;41094493;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010113;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;№15/01 від 20.01.2017;41094509;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010114;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ВУЛИЦЯ ПОЛТАВСЬКЕ ШОСЕ, будинок 157-А;№15/01 від 20.01.2017;41094514;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010115;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;№26/01 від 26.01.2017;41109038;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010116;39600, Полтавська обл., місто Кременчук, Крюківський район, ВУЛИЦЯ ІГОРЯ СЕРДЮКА, будинок 47;№26/01 від 26.01.2017;41109043;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010117;38200, Полтавська обл., Семенівський район, селище міського типу Семенівка, ВУЛИЦЯ ПЕРЕМОГИ, будинок 7;№26/01 від 26.01.2017;41109059;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010118;69002, Запорізька обл., місто Запоріжжя, Олександрівський район, ВУЛИЦЯ КРИВА БУХТА, будинок 2;№26/01 від 26.01.2017;41109064;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010119;61124, Харківська обл., місто Харків, Слобідський район, ВУЛИЦЯ ОЛЕКСАНДРА МАТРОСОВА, будинок 20;№26/01 від 26.01.2017;41109070;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010120;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 66-1;№26/01 від 26.01.2017;41109085;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010121;25014, Кіровоградська обл., місто Кропивницький, Фортечний район, ВУЛИЦЯ ДЖЕРЕЛЬНА, будинок 86;№26/01 від 26.01.2017;41109090;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010122;03124, м.Київ, Солом'янський район, ВУЛИЦЯ РАДИЩЕВА, будинок 12-16;№26/01 від 26.01.2017;41109106;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010123;38100, Полтавська обл., Зіньківський район, місто Зіньків, ВУЛИЦЯ ВОЗДВИЖЕНСЬКА, будинок 1-К;№26/01 від 26.01.2017;41109111;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010124;43020, Волинська обл., місто Луцьк, ВУЛИЦЯ РІВНЕНСЬКА, будинок 76-А;№26/01 від 26.01.2017;41109127;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010125;85307, Донецька обл., місто Покровськ, МІКРОРАЙОН ШАХТАРСЬКИЙ, будинок 2-Б;№26/01 від 26.01.2017;41109132;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010126;55210, Миколаївська обл., місто Первомайськ, ВУЛИЦЯ ВОЗНЕСЕНСЬКА, будинок 52-Б;№26/01 від 26.01.2017;41109148;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010127;77001, Івано-Франківська обл., Рогатинський район, місто Рогатин, ВУЛИЦЯ ГАЛИЦЬКА, будинок 86;№26/01 від 26.01.2017;41109153;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010128;48101, Тернопільська обл., Теребовлянський район, місто Теребовля, ВУЛИЦЯ КНЯЗЯ ВАСИЛЬКА, будинок 107;№26/01 від 26.01.2017;41109169;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010129;65075, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ МОТОРНА, будинок 8/К1;№26/01 від 26.01.2017;41109174;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010130;59300, Чернівецька обл., Кіцманський район, місто Кіцмань, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 65-А;№26/01 від 26.01.2017;41109183;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010131;84404, Донецька обл., місто Лиман, ВУЛИЦЯ ПРИВОКЗАЛЬНА, будинок 35-А;№26/01 від 26.01.2017;41109200;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010132;23700, Вінницька обл., Гайсинський район, місто Гайсин, ВУЛИЦЯ МЕХАНІЗАТОРІВ, будинок 15-А;№26/01 від 26.01.2017;41109216;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010133;03151, м.Київ, Солом'янський район, ПРОСПЕКТ ПОВІТРОФЛОТСЬКИЙ, будинок 64;№26/01 від 26.01.2017;41109221;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010134;85310, Донецька обл., місто Покровськ, місто Родинське, ВУЛИЦЯ МАЯКОВСЬКОГО, будинок 15;№26/01 від 26.01.2017;41109237;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010135;85043, Донецька обл., місто Добропілля, місто Білицьке, ВУЛИЦЯ ДОНЕЦЬКА, будинок 48;№26/01 від 26.01.2017;41109242;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010136;02218, м.Київ, Дніпровський район, БУЛЬВАР ПЕРОВА, будинок 19-А;№26/01 від 26.01.2017;41109258;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010137;49041, Дніпропетровська обл., місто Дніпро, Соборний район, ПРОСПЕКТ ПРАЦІ, будинок 2-А;№26/01 від 26.01.2017;41109263;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010138;85323, Донецька обл., місто Мирноград, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 18;№26/01 від 26.01.2017;41109279;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010139;35063, Рівненська обл., місто Дубно, ВУЛИЦЯ СТЕФАНИКА, будинок 6;№26/01 від 26.01.2017;41109284;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010140;08292, Київська обл., м.Буча, вул.Яблунська, 144;№26/01 від 26.01.2017;41109297;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010141;77304, Івано-Франківська обл., м.Калуш, вул.Каракая, 24;№26/01 від 26.01.2017;41109305;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010142;41300, Сумська обл., Кролевецький район, місто Кролевець, ВУЛИЦЯ ГЕРОЇВ КРУТ, будинок 15;№26/01 від 26.01.2017;41109310;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010143;66101, Одеська обл, м.Балта, вул.Садова, 11;№26/01 від 26.01.2017;41109326;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010144;75700, Херсонська обл., Скадовський р-н., м.Скадовськ, вул.В'ячеслава Чорновола, 103;№26/01 від 26.01.2017;41109331;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010145;89427, Закарпатська обл., Ужгородський р-н., с.Минай, вул. Патруса Карпатського, 13-А;№26/01 від 26.01.2017;41109347;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010146;89427, Тернопільська обл., м.Бережани, вул. Привокзальна, 1;№26/01 від 26.01.2017;41109352;ПН, СР, ПТ 9:00-18:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010147;84545, Донецька обл., Бахмутський р-н., м.Соледар, вул.Карпінського, 1/10;№26/01 від 26.01.2017;41109368;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
